Review,DOI,Data,Reference,Species,k,,Reference,DOI_original,Order,Species,,
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,,0.0082,,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,,
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,,0.0035,,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,,
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Hauxwell et al. 1998; Peckol and Rivers 1996,,0.0076,,Peckol & Rivers 1996,10.1006/ecss.1996.0072,Cladophorales,Cladophora vagabunda,,
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Josselyn and Mathieson 1980,,0.031,,Josselyn & Mathieson 1980,10.1007/bf03216236,Fucales,Fucus vesiculosus,,
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Sfriso and Marcomini 1997,,0.023,,Sfriso & Marcomini 1997,10.1016/S0141-1136(97)00012-3,Ulvales,Ulva rigida,,
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Twilley et al. 1986a,,0.023,,Twilley et al. 1986,10.2307/3566045,Ulvales,Ulva lactuca,,
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Albright et al. (1980) Nat Can 107:3-10,Macrocystis integrifolia (blade),0.0321,,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,,
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Albright et al. (1980) Nat Can 107:3-10,Macrocystis integrifolia (stipe),0.0295,,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,,
Moten Foldager Pedersen unpublished,NA,NA,Alkemade & van Rijswijk (1993) Neth J Sea Res 31: 63-70,Iridaea sp.,0.0367,,Alkemade & van Rijswijk,10.1016/0077-7579(93)90018-N,Gigartinales,Iridaea sp.,,
Moten Foldager Pedersen unpublished,NA,NA,Alkemade & van Rijswijk (1993) Neth J Sea Res 31: 63-70,Iridaea sp.,0.0337,,Alkemade & van Rijswijk,10.1016/0077-7579(93)90018-N,Gigartinales,Iridaea sp.,,
Moten Foldager Pedersen unpublished,NA,NA,Alkemade & van Rijswijk (1993) Neth J Sea Res 31: 63-70,Iridaea sp.,0.0075,,Alkemade & van Rijswijk,10.1016/0077-7579(93)90018-N,Gigartinales,Iridaea sp.,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,"Banta et al. (2004) in Nielsen, Banta & Pedersen (2004) Estuarine nutrient cycling: The influence of primary producers. Kluwer Academic Publishers",Fucus vesiculosus,0.0407,,Banta et al. 2004,10.1007/978-1-4020-3021-5_7,Fucales,Fucus vesiculosus,,
Moten Foldager Pedersen unpublished,NA,NA,"Banta et al. (2004) in Nielsen, Banta & Pedersen (2004) Estuarine nutrient cycling: The influence of primary producers. Kluwer Academic Publishers",Polysiphonia sp.,0.0856,,Banta et al. 2004,10.1007/978-1-4020-3021-5_7,Ceramiales,Polysiphonia sp.,,
Moten Foldager Pedersen unpublished,NA,NA,"Banta et al. (2004) in Nielsen, Banta & Pedersen (2004) Estuarine nutrient cycling: The influence of primary producers. Kluwer Academic Publishers",Ulva lactuca,0.0375,,Banta et al. 2004,10.1007/978-1-4020-3021-5_7,Ulvales,Ulva lactuca,,
Moten Foldager Pedersen unpublished,NA,NA,Birch et al. (1983) Bot Mar 26: 165-171,Cladophora albida,0.0167,,Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophorales,Cladophora aff. albida,,
Moten Foldager Pedersen unpublished,NA,NA,Birch et al. (1983) Bot Mar 26: 165-171,Cladophora albida,0.0068,,Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophorales,Cladophora aff. albida,,
Moten Foldager Pedersen unpublished,NA,NA,Bourgues et al. (1996) Hydrobiologia 329: 121-131,Monostroma obscurum (spring),0.1669,,Bourguès et al. 1996,10.1007/bf00034552,Ulvales,Ulvaria obscura,,
Moten Foldager Pedersen unpublished,NA,NA,Bourgues et al. (1996) Hydrobiologia 329: 121-131,Monostroma obscurum (summer),0.0833,,Bourguès et al. 1996,10.1007/bf00034552,Ulvales,Ulvaria obscura,,
Moten Foldager Pedersen unpublished,NA,NA,Bourgues et al. (1996) Hydrobiologia 329: 121-131,Monostroma obscurum (autumn),0.0549,,Bourguès et al. 1996,10.1007/bf00034552,Ulvales,Ulvaria obscura,,
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Brouwer (1996) Polar Biol 16: 139-137,Desmarestia anceps,0.0027,,Brouwer 1996,10.1007/bf02390433,Desmarestiales,Desmarestia anceps,,
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Brouwer (1996) Polar Biol 16: 139-137,Desmarestia anceps,0.0309,,Brouwer 1996,10.1007/bf02390433,Desmarestiales,Desmarestia anceps,,
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Buchsbaum et al. (1991) MEPS 72: 131-143,Fucus vesiculosus,0.0579,,Buchsbaum et al. 1991,10.3354/meps072131,Fucales,Fucus vesiculosus,,
Moten Foldager Pedersen unpublished,NA,NA,Buchsbaum et al. (1991) MEPS 72: 131-143,Gracilaria tikvahiae,0.2539,,Buchsbaum et al. 1991,10.3354/meps072131,Gracilariales,Gracilaria tikvahiae,,
Moten Foldager Pedersen unpublished,NA,NA,Buchsbaum et al. (1991) MEPS 72: 131-143,Ulva lactuca,0.1701,,Buchsbaum et al. 1991,10.3354/meps072131,Ulvales,Ulva lactuca,,
Moten Foldager Pedersen unpublished,NA,NA,Castaldelli et al. (2003) Aquat Bot 75: 111-122,Ulva rigida,0.0847,,Castaldelli et al. 2003,10.1016/S0304-3770(02)00167-5,Ulvales,Ulva rigida,,
Moten Foldager Pedersen unpublished,NA,NA,Castaldelli et al. (2003) Aquat Bot 75: 111-122,Ulva rigida,0.0899,,Castaldelli et al. 2003,10.1016/S0304-3770(02)00167-5,Ulvales,Ulva rigida,,
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly (2007) Marine Ecology Progress Series 349: 33–42 ,Ulva sp. (80um mesh),0.0398,,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,,
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly (2007) Marine Ecology Progress Series 349: 33–42 ,Ulva sp. (5mm mesh),0.0613,,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,,
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly (2007) Marine Ecology Progress Series 349: 33–42 ,Ulva sp. (1mm mesh),0.0556,,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,,
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly (2007) Marine Ecology Progress Series 349: 33–42 ,Ulva sp. (80um mesh),0.3382,,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,,
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly (2007) Marine Ecology Progress Series 349: 33–42 ,Ulva sp. (5mm mesh),0.3942,,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,,
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly (2007) Marine Ecology Progress Series 349: 33–42 ,Ulva sp. (1mm mesh),0.0375,,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,,
Moten Foldager Pedersen unpublished,NA,NA,"Conover et al. (2016) Estuarine, Coastal and Shelf Science 178: 58-64",Agardhiella subulata,0.347,,Conover et al. 2016,10.1016/j.ecss.2016.05.018,Gigartinales,Agardhiella subulata,,
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,"Conover et al. (2016) Estuarine, Coastal and Shelf Science 178: 58-64",Fucus vesiculosus,0.088,,Conover et al. 2016,10.1016/j.ecss.2016.05.018,Fucales,Fucus vesiculosus,,
Moten Foldager Pedersen unpublished,NA,NA,"Conover et al. (2016) Estuarine, Coastal and Shelf Science 178: 58-64",Gracillaria vermiculophylla,0.507,,Conover et al. 2016,10.1016/j.ecss.2016.05.018,Gracilariales,Gracilaria vermiculophylla,,
Moten Foldager Pedersen unpublished,NA,NA,"Conover et al. (2016) Estuarine, Coastal and Shelf Science 178: 58-64",Ulva compressa,0.439,,Conover et al. 2016,10.1016/j.ecss.2016.05.018,Ulvales,Ulva compressa,,
Moten Foldager Pedersen unpublished,NA,NA,"Conover et al. (2016) Estuarine, Coastal and Shelf Science 178: 58-64",Ulva rigida,0.439,,Conover et al. 2016,10.1016/j.ecss.2016.05.018,Ulvales,Ulva rigida,,
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,de Bettignies et al. (2020) Journal of Phycology (no ref yet),Laminaria hyperborea (new blade),0.0232,,de Bettignies et al. 2020,10.1111/jpy.13041,Laminariales,Laminaria hyperborea,,
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,de Bettignies et al. (2020) Journal of Phycology (no ref yet),Laminaria hyperborea (old blade),0.0364,,de Bettignies et al. 2020,10.1111/jpy.13041,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0005,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0036,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0143,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria solidungula,0.0208,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria solidungula,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria solidungula,0.0254,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria solidungula,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria solidungula,0.0317,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria solidungula,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0011,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0093,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0093,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.0005,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.0016,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.0008,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0004,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.002,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0013,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.0015,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.001,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.0025,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0081,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0055,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0052,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,-0.0011,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,-0.0057,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,-0.0037,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0055,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0033,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0025,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0359,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0437,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0287,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria digitata,0.0169,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria digitata,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria digitata,0.013,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria digitata,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria digitata,0.0206,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria digitata,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0017,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0022,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0032,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.0946,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.0944,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.0942,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0406,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0566,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0855,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0644,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0411,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.0093,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.0046,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Laminaria hyperborea,0.0068,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0095,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0134,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0041,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0333,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022. PLoS Biology,Saccharina latissima,0.0159,,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,,
